SMILES;MW;LogP;HBD;HBA;TPSA;RotatableBonds;Lipinski;Veber;PAINS;Brenk;Status
CC1OC(C)CN(C(N2CC(C)OC(C)C2)=O)C1;256.346;1.3248;0.0;3.0;42.010000000000005;0.0;True;True;False;False;
OC1=CC=C(C(N/N=C/C2=CC=C(CO)C3=C2C=CC=C3)=O)C=C1C#N;345.35800000000006;2.673280000000001;3.0;5.0;105.70999999999998;4.0;True;True;False;True;
O=C1NC(/C(S1)=C/C2=CC(OCCCCC(NCCCNC(CCCCOC3=C(C=CC=C4)C4=CC(/C=C(S5)\CNC5=O)=C3)=O)=O)=C(C=CC=C6)C6=C2)=O;766.9420000000003;7.535100000000007;4.0;9.0;151.92999999999998;18.0;False;False;False;True;
OC(C(O)=C1)=CC=C1C2=CSC3=NC4=CC=CC=C4N32;282.324;3.627200000000002;2.0;5.0;57.760000000000005;1.0;True;True;True;True;
C#CN1C2=CC=CC=C2C3=C1C=CC=C3;191.23299999999998;3.2333000000000016;0.0;1.0;4.93;0.0;True;True;False;True;
O=C1NC(/C(S1)=C/C2=CC(OCC(NCCCNC(COC3=C(C=CC=C4)C4=CC(/C=C(S5)\C(NC5=O)=O)=C3)=O)=O)=C(C=CC=C6)C6=C2)=O;696.7630000000003;4.721100000000003;4.0;10.0;168.99999999999997;12.0;True;False;False;True;
O=C(NNC(OC)=O)NNC(OC)=O;206.158;-1.1724000000000006;4.0;5.0;117.79000000000002;0.0;True;True;False;True;
CC(OC(C=C1)=CC=C1OC2=CC=C(C(F)(F)F)C=C2)=O;296.24399999999997;4.423000000000002;0.0;3.0;35.53;3.0;True;True;False;True;
NC(N1C[C@@H](C)O[C@@H](C)C1)=O;158.20099999999994;0.1742999999999999;1.0;2.0;55.559999999999995;0.0;True;True;False;False;
NC(N1CC(C)OC(C)C1)=O;158.20099999999994;0.1742999999999999;1.0;2.0;55.559999999999995;0.0;True;True;False;False;
OC1=CC=C(N2C(CCC2=O)=O)C=N1;192.174;0.4406;1.0;4.0;70.5;1.0;True;True;False;True;
N=C(NC(OC)=O)NC(C=C1)=CC=C1OC2=CC=CC=C2;285.303;3.1815700000000016;3.0;4.0;83.44;3.0;True;True;False;True;
O=C(OC(C)(C)C)N1CCS(CC1)=NS(C2=CC=C(C)C=C2)(=O)=O;372.5120000000001;2.736320000000001;0.0;4.0;76.03999999999999;2.0;True;True;False;False;
C12=CC=CC=C1C3=C(C=CC=C3)N2CN4CCOCC4;266.344;3.084200000000002;0.0;3.0;17.4;2.0;True;True;False;False;
